,name,rank,year,company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,wealth.type,wealth.worth in billions,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political
0,Bill Gates,1,1996,1975,Microsoft,founder,software,new,40,male,United States,USA,8100000000000.0,North America,founder non-finance,18.5,New Sectors,True,Technology-Computer,not inherited,True,True
1,Bill Gates,1,2001,1975,Microsoft,founder,software,new,45,male,United States,USA,10600000000000.0,North America,founder non-finance,58.7,New Sectors,True,Technology-Computer,not inherited,True,True
2,Bill Gates,1,2014,1975,Microsoft,founder,software,new,58,male,United States,USA,0.0,North America,founder non-finance,76.0,New Sectors,True,Technology-Computer,not inherited,True,True
3,Warren Buffett,2,1996,1962,Berkshire Hathaway,founder,finance,new,65,male,United States,USA,8100000000000.0,North America,founder non-finance,15.0,Traded Sectors,True,Consumer,not inherited,True,True
4,Warren Buffett,2,2001,1962,Berkshire Hathaway,founder,finance,new,70,male,United States,USA,10600000000000.0,North America,founder non-finance,32.3,Traded Sectors,True,Consumer,not inherited,True,True
5,Carlos Slim Helu,2,2014,1990,Telmex,founder,communication,privatization,74,male,Mexico,MEX,0.0,Latin America,privatized and resources,72.0,Non-Traded Sectors,True,Media,not inherited,True,True
6,Oeri Hoffman and Sacher,3,1996,1896,F. Hoffmann-La Roche,,medicals,new,0,,Switzerland,CHE,330000000000.0,Europe,inherited,13.1,New Sectors,True,Technology-Medical,3rd generation,True,True
7,Paul Allen,3,2001,1975,Microsoft,founder,software,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,30.4,New Sectors,True,Technology-Computer,not inherited,True,True
8,Lee Shau Kee,4,1996,1976,Henderson Land Development,founder/chairman,real estate,new,68,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,12.7,Financial,True,Real Estate,not inherited,True,True
9,Larry Ellison,4,2001,1977,Oracle,founder,software, new,56,male,United States,USA,10600000000000.0,North America,founder non-finance,26.0,New Sectors,True,Technology-Computer,not inherited,True,True
10,Warren Buffett,4,2014,1839,Berkshire Hathaway,founder,finance,aquired,83,male,United States,USA,0.0,North America,founder non-finance,58.2,Traded Sectors,True,Consumer,not inherited,True,True
11,Theo and Karl Albrecht,5,2001,1913,Aldi,founder,service,new,0,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,25.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
12,Larry Ellison,5,2014,1977,Oracle,founder,software, new,69,male,United States,USA,0.0,North America,founder non-finance,48.0,New Sectors,True,Technology-Computer,not inherited,True,True
13,Walter Thomas and Raymond Kwok,6,1996,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,11.2,Financial,True,Real Estate,father,True,True
14,Li Ka-shing,7,1996,1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,10.6,Financial,True,Real Estate,not inherited,True,True
15,Jim Walton,7,2001,1962,Walmart,relation,retail, new,53,male,United States,USA,10600000000000.0,North America,inherited,18.8,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
16,Yoshiaki Tsutsumi,8,1996,1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,4710000000000.0,East Asia,inherited,9.2,Financial,True,Real Estate,father,True,True
17,John Walton,8,2001,1962,Walmart,relation,retail, new,55,male,United States,USA,10600000000000.0,North America,inherited,18.7,Traded Sectors,True,Consumer,father,True,True
18,Theo and Karl Albrecht,9,1996,1913,Aldi Nord,Relation,service,new,0,male,Germany,DEU,2500000000000.0,Europe,inherited,9.0,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
19,S Robson Walton,9,2001,1962,Walmart,relation,retail, new,57,male,United States,USA,10600000000000.0,North America,inherited,18.6,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
20,Christy Walton,9,2014,1962,Walmart,relation,retail, new,59,female,United States,USA,0.0,North America,inherited,36.7,Non-Traded Sectors,True,"Retail, Restaurant",spouse/widow,True,True
21,Alice Walton,10,2001,1962,Walmart,relation,retail, new,52,female,United States,USA,10600000000000.0,North America,inherited,18.5,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
22,Helen Walton,10,2001,1962,Walmart,relation,retail, new,81,female,United States,USA,10600000000000.0,North America,inherited,18.5,Traded Sectors,True,Consumer,spouse/widow,True,True
23,Jim Walton,10,2014,1962,Walmart,relation,retail, new,66,male,United States,USA,0.0,North America,inherited,34.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
24,Paul Allen,13,1996,1975,Microsoft,founder,software,new,43,male,United States,USA,8100000000000.0,North America,founder non-finance,7.5,New Sectors,True,Technology-Computer,not inherited,True,True
25,Steven Ballmer,13,2001,1975,Microsoft,CEO,software,new,44,male,United States,USA,10600000000000.0,North America,executive,16.6,New Sectors,True,Technology-Computer,not inherited,True,True
26,Alice Walton,13,2014,1962,Walmart,relation,retail, new,64,female,United States,USA,0.0,North America,inherited,34.3,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
27,Kenneth Thomson,14,1996,1934,Thomson Corporation (now Thomson Reuters),relation,communication,acquired,72,male,Canada,CAN,627000000000.0,North America,inherited,7.4,Non-Traded Sectors,True,Media,father,True,True
28,Kenneth Thomson,14,2001,1934,Thomson Corporation (now Thomson Reuters),relation,communication,acquired,77,male,Canada,CAN,733000000000.0,North America,inherited,16.4,Non-Traded Sectors,True,Media,father,True,True
29,S. Robson Walton,14,2014,1962,Walmart,relation,retail, new,70,male,United States,USA,0.0,North America,inherited,34.2,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
30,John Kluge,15,1996,1956,Metropolitan Broadcasting Corporation,chairman,communication,new,81,male,United States,USA,8100000000000.0,North America,executive,7.2,Non-Traded Sectors,True,Media,not inherited,True,True
31,Tan Yu,16,1996,1972,Asiaworld Internationale Group,founder,real estate,new,0,male,Philippines,PHL,82848194406.0,East Asia,self-made finance,7.0,Financial,True,Real Estate,not inherited,True,True
32,Michael Bloomberg,16,2014,1981,Bloomberg,founder,finance, new,72,male,United States,USA,0.0,North America,founder non-finance,33.0,Non-Traded Sectors,True,Media,not inherited,True,True
33,Larry Page,17,2014,1998,Google,founder,software, new,40,male,United States,USA,0.0,North America,founder non-finance,32.3,New Sectors,True,Technology-Computer,not inherited,True,True
34,Carlos Slim Helu,18,1996,1990,Telmex,founder,communication,privatization,56,male,Mexico,MEX,397000000000.0,Latin America,privatized and resources,6.1,Non-Traded Sectors,True,Media,not inherited,True,True
35,Li Ka-shing,18,2001,1971,Cheung king,founder,real estate,new,72,male,Hong Kong,HKG,169000000000.0,East Asia,self-made finance,12.6,Financial,True,Real Estate,not inherited,True,True
36,Sumner Redstone,18,2001,1936,National Amusements,relation,communication,new,77,male,United States,USA,10600000000000.0,North America,inherited,12.6,Non-Traded Sectors,True,Media,father,True,True
