,name,rank,year,company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,wealth.type,wealth.worth in billions,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political
0,Bill Gates,1,1996,1975,Microsoft,founder,software,new,40,male,United States,USA,8100000000000.0,North America,founder non-finance,18.5,New Sectors,True,Technology-Computer,not inherited,True,True
1,Bill Gates,1,2001,1975,Microsoft,founder,software,new,45,male,United States,USA,10600000000000.0,North America,founder non-finance,58.7,New Sectors,True,Technology-Computer,not inherited,True,True
2,Bill Gates,1,2014,1975,Microsoft,founder,software,new,58,male,United States,USA,0.0,North America,founder non-finance,76.0,New Sectors,True,Technology-Computer,not inherited,True,True
3,Warren Buffett,2,1996,1962,Berkshire Hathaway,founder,finance,new,65,male,United States,USA,8100000000000.0,North America,founder non-finance,15.0,Traded Sectors,True,Consumer,not inherited,True,True
4,Warren Buffett,2,2001,1962,Berkshire Hathaway,founder,finance,new,70,male,United States,USA,10600000000000.0,North America,founder non-finance,32.3,Traded Sectors,True,Consumer,not inherited,True,True
5,Carlos Slim Helu,2,2014,1990,Telmex,founder,communication,privatization,74,male,Mexico,MEX,0.0,Latin America,privatized and resources,72.0,Non-Traded Sectors,True,Media,not inherited,True,True
6,Oeri Hoffman and Sacher,3,1996,1896,F. Hoffmann-La Roche,,medicals,new,0,,Switzerland,CHE,330000000000.0,Europe,inherited,13.1,New Sectors,True,Technology-Medical,3rd generation,True,True
7,Paul Allen,3,2001,1975,Microsoft,founder,software,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,30.4,New Sectors,True,Technology-Computer,not inherited,True,True
8,Amancio Ortega,3,2014,1975,Zara,founder,Fashion,new,77,male,Spain,ESP,0.0,Europe,founder non-finance,64.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
9,Lee Shau Kee,4,1996,1976,Henderson Land Development,founder/chairman,real estate,new,68,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,12.7,Financial,True,Real Estate,not inherited,True,True
10,Larry Ellison,4,2001,1977,Oracle,founder,software, new,56,male,United States,USA,10600000000000.0,North America,founder non-finance,26.0,New Sectors,True,Technology-Computer,not inherited,True,True
11,Warren Buffett,4,2014,1839,Berkshire Hathaway,founder,finance,aquired,83,male,United States,USA,0.0,North America,founder non-finance,58.2,Traded Sectors,True,Consumer,not inherited,True,True
12,Tsai Wan-lin,5,1996,1962,Lin Yuan Group,founder,banking and insurance,new,71,male,Taiwan,Taiwan,0.0,East Asia,self-made finance,12.2,Financial,True,Hedge funds,not inherited,True,True
13,Theo and Karl Albrecht,5,2001,1913,Aldi,founder,service,new,0,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,25.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
14,Larry Ellison,5,2014,1977,Oracle,founder,software, new,69,male,United States,USA,0.0,North America,founder non-finance,48.0,New Sectors,True,Technology-Computer,not inherited,True,True
15,Walter Thomas and Raymond Kwok,6,1996,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,11.2,Financial,True,Real Estate,father,True,True
16,Prince Alwaleed Bin Talal Alsaud,6,2001,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,44,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,privatized and resources,20.0,Financial,True,Money Management,not inherited,True,True
17,Charles Koch,6,2014,1940,Koch industries,relation,  Oil refining,new,78,male,United States,USA,0.0,North America,inherited,40.0,Financial,True,Diversified financial,father,True,True
18,David Koch,6,2014,1940,Koch industries,relation, Oil refining,new,73,male,United States,USA,0.0,North America,inherited,40.0,Financial,True,Diversified financial,father,True,True
19,Li Ka-shing,7,1996,1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,10.6,Financial,True,Real Estate,not inherited,True,True
20,Jim Walton,7,2001,1962,Walmart,relation,retail, new,53,male,United States,USA,10600000000000.0,North America,inherited,18.8,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
21,Yoshiaki Tsutsumi,8,1996,1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,4710000000000.0,East Asia,inherited,9.2,Financial,True,Real Estate,father,True,True
22,John Walton,8,2001,1962,Walmart,relation,retail, new,55,male,United States,USA,10600000000000.0,North America,inherited,18.7,Traded Sectors,True,Consumer,father,True,True
23,Sheldon Adelson,8,2014,1952,Las Vegas Sands,founder, casinos, acquired,80,male,United States,USA,0.0,North America,self-made finance,38.0,Financial,True,Real Estate,not inherited,True,True
24,Theo and Karl Albrecht,9,1996,1913,Aldi Nord,Relation,service,new,0,male,Germany,DEU,2500000000000.0,Europe,inherited,9.0,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
25,S Robson Walton,9,2001,1962,Walmart,relation,retail, new,57,male,United States,USA,10600000000000.0,North America,inherited,18.6,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
26,Christy Walton,9,2014,1962,Walmart,relation,retail, new,59,female,United States,USA,0.0,North America,inherited,36.7,Non-Traded Sectors,True,"Retail, Restaurant",spouse/widow,True,True
27,Hans and Gad Rausing,10,1996,1951,Tetra Pak,relation,food packaging,new,0,male,Sweden,SWE,288000000000.0,Europe,inherited,9.0,Traded Sectors,True,Consumer,father,True,True
28,Alice Walton,10,2001,1962,Walmart,relation,retail, new,52,female,United States,USA,10600000000000.0,North America,inherited,18.5,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
29,Helen Walton,10,2001,1962,Walmart,relation,retail, new,81,female,United States,USA,10600000000000.0,North America,inherited,18.5,Traded Sectors,True,Consumer,spouse/widow,True,True
30,Jim Walton,10,2014,1962,Walmart,relation,retail, new,66,male,United States,USA,0.0,North America,inherited,34.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
31,Johanna Quandt,11,1996,1916,BMW,relation,cars,new,68,female,Germany,DEU,2500000000000.0,Europe,inherited,8.1,Traded Sectors,True,Consumer,spouse/widow,True,True
32,Liliane Bettencourt,11,2014,1909,L'Oreal,relation,cosmetics,new,91,female,France,FRA,0.0,Europe,inherited,34.5,Traded Sectors,True,Consumer,father,True,True
33,Haniel family,12,1996,1756,Franz Haniel & Cie,,,new,0,,Germany,DEU,2500000000000.0,Europe,inherited,8.1,Financial,True,Diversified financial,not inherited,True,True
34,Johanna Quandt,12,2001,1916,BMW,relation,cars,new,73,female,Germany,DEU,1950000000000.0,Europe,inherited,17.8,Traded Sectors,True,Consumer,spouse/widow,True,True
35,Stefan Persson,12,2014,1947, H&M,relation, fashion, new,66,male,Sweden,SWE,0.0,Europe,inherited,34.4,Traded Sectors,True,Consumer,father,True,True
36,Paul Allen,13,1996,1975,Microsoft,founder,software,new,43,male,United States,USA,8100000000000.0,North America,founder non-finance,7.5,New Sectors,True,Technology-Computer,not inherited,True,True
